Time, Wind, TempF, Hum, Gust
02/24/2022 13:03:46, 1.12, 62.56, 39.86, 
02/24/2022 13:04:16, 3.20, 62.62, 40.35, 3.29
02/24/2022 13:04:46, 4.46, 62.67, 40.14, 
02/24/2022 13:05:16, 4.59, 62.71, 40.10, 5.26
02/24/2022 13:05:46, 3.61, 62.82, 40.20, 
02/24/2022 13:06:16, 2.07, 62.98, 40.83, 3.94
02/24/2022 13:06:46, 1.32, 63.25, 40.61, 
02/24/2022 13:07:16, 2.83, 63.46, 40.47, 3.94
02/24/2022 13:07:46, 3.57, 63.68, 40.28, 
02/24/2022 13:08:16, 2.99, 63.86, 40.03, 3.94
02/24/2022 13:08:46, 3.12, 63.99, 39.66, 
02/24/2022 13:09:16, 4.25, 63.84, 39.09, 5.26
02/24/2022 13:09:46, 4.04, 63.75, 38.92, 
02/24/2022 13:10:16, 3.82, 63.68, 39.28, 3.94
02/24/2022 13:10:46, 5.38, 63.55, 39.02, 
02/24/2022 13:11:16, 7.57, 63.12, 39.18, 9.20
02/24/2022 13:11:46, 6.80, 62.83, 39.49, 
02/24/2022 13:12:16, 7.05, 62.44, 39.85, 7.88
02/24/2022 13:12:46, 7.93, 62.10, 39.80, 
02/24/2022 13:13:16, 7.23, 61.83, 40.29, 7.88
02/24/2022 13:13:46, 3.42, 61.74, 40.38, 
02/24/2022 13:14:16, 2.77, 61.65, 41.29, 5.26
02/24/2022 13:14:46, 6.39, 61.38, 40.89, 
02/24/2022 13:15:16, 9.11, 60.89, 41.18, 9.86
02/24/2022 13:15:46, 8.14, 60.48, 41.44, 
02/24/2022 13:16:16, 7.98, 59.81, 42.16, 8.54
02/24/2022 13:16:46, 7.30, 59.54, 42.57, 
02/24/2022 13:17:16, 4.80, 59.47, 43.71, 8.54
02/24/2022 13:17:46, 3.57, 59.58, 43.67, 
02/24/2022 13:18:17, 1.93, 59.85, 43.41, 4.60
02/24/2022 13:18:47, 1.31, 60.13, 44.09, 
02/24/2022 13:19:17, 2.63, 60.39, 43.80, 3.94
02/24/2022 13:19:47, 4.07, 60.66, 43.63, 
02/24/2022 13:20:17, 4.02, 60.82, 43.30, 3.94
02/24/2022 13:20:47, 3.03, 60.93, 43.18, 
02/24/2022 13:21:17, 3.65, 61.00, 43.22, 4.60
02/24/2022 13:21:47, 4.57, 61.02, 43.12, 
02/24/2022 13:22:17, 4.27, 60.96, 43.06, 4.60
02/24/2022 13:22:47, 5.03, 60.98, 43.08, 
02/24/2022 13:23:17, 6.15, 60.94, 42.87, 7.23
02/24/2022 13:23:47, 4.75, 61.05, 42.91, 
02/24/2022 13:24:17, 4.75, 61.07, 42.92, 5.91
02/24/2022 13:24:47, 5.93, 61.07, 42.43, 
02/24/2022 13:25:17, 5.39, 61.00, 42.75, 6.57
02/24/2022 13:25:47, 4.28, 61.02, 43.05, 
02/24/2022 13:26:17, 4.76, 61.05, 43.02, 5.91
02/24/2022 13:26:47, 4.75, 61.11, 42.88, 
02/24/2022 13:27:17, 2.64, 61.20, 43.03, 5.91
02/24/2022 13:27:47, 4.08, 61.27, 43.12, 
02/24/2022 13:28:17, 5.80, 61.30, 42.71, 7.23
02/24/2022 13:28:47, 5.18, 61.29, 42.76, 
02/24/2022 13:29:17, 3.47, 61.38, 42.78, 5.26
02/24/2022 13:29:47, 3.11, 61.36, 42.52, 
02/24/2022 13:30:17, 3.40, 61.41, 42.67, 4.60
02/24/2022 13:30:47, 2.90, 61.52, 42.87, 
02/24/2022 13:31:17, 3.25, 61.61, 42.69, 4.60
02/24/2022 13:31:47, 3.15, 61.56, 42.47, 
02/24/2022 13:32:17, 3.53, 61.59, 42.07, 5.26
02/24/2022 13:32:47, 3.51, 61.54, 42.17, 
02/24/2022 13:33:17, 2.91, 61.63, 42.48, 5.26
02/24/2022 13:33:47, 2.99, 61.74, 42.67, 
02/24/2022 13:34:17, 2.99, 61.83, 42.47, 3.29
